Year,Week No,Date,Qty
2023/2024,40.0,03-10-2023,480
2023/2024,41.0,10-10-2023,477
2023/2024,42.0,17-10-2023,472
2023/2024,43.0,24-10-2023,482
2023/2024,44.0,31-10-2023,503
2023/2024,45.0,07-11-2023,537
2023/2024,46.0,14-11-2023,567
2023/2024,47.0,21-11-2023,583
2023/2024,48.0,28-11-2023,586
2023/2024,49.0,05-12-2023,600
2023/2024,50.0,12-12-2023,616
2023/2024,51.0,19-12-2023,629
2023/2024,52.0,26-12-2023,639
2023/2024,1.0,02-01-2024,642
2023/2024,2.0,09-01-2024,644
2023/2024,3.0,16-01-2024,647
2023/2024,4.0,23-01-2024,711
2023/2024,5.0,30-01-2024,735
2023/2024,6.0,06-02-2024,745
2023/2024,7.0,13-02-2024,756
2023/2024,8.0,20-02-2024,770
2023/2024,9.0,27-02-2024,776
2023/2024,10.0,05-03-2024,778
2023/2024,11.0,12-03-2024,797
2023/2024,12.0,19-03-2024,810
2023/2024,13.0,26-03-2024,815
2023/2024,14.0,02-04-2024,836
2023/2024,15.0,09-04-2024,847
2023/2024,16.0,16-04-2024,851
2023/2024,17.0,23-04-2024,852
2023/2024,18.0,30-04-2024,847
2023/2024,19.0,07-05-2024,844
2023/2024,20.0,14-05-2024,839
2023/2024,21.0,21-05-2024,834
2023/2024,22.0,28-05-2024,827
2023/2024,23.0,04-06-2024,816
2023/2024,24.0,11-06-2024,806
2023/2024,25.0,18-06-2024,792
2023/2024,26.0,25-06-2024,780
2023/2024,27.0,02-07-2024,771
2023/2024,28.0,09-07-2024,766
2023/2024,29.0,16-07-2024,752
2023/2024,30.0,23-07-2024,741
2023/2024,31.0,30-07-2024,731
2023/2024,32.0,06-08-2024,718
2023/2024,33.0,13-08-2024,708
2023/2024,34.0,20-08-2024,697
2023/2024,35.0,27-08-2024,685
2023/2024,36.0,03-09-2024,677
2023/2024,37.0,10-09-2024,666
2023/2024,38.0,17-09-2024,0
2023/2024,39.0,24-09-2024,0
2022/2023,40.0,04-10-2022,524
2022/2023,41.0,11-10-2022,517
2022/2023,42.0,18-10-2022,512
2022/2023,43.0,25-10-2022,508
2022/2023,44.0,01-11-2022,505
2022/2023,45.0,08-11-2022,500
2022/2023,46.0,15-11-2022,497
2022/2023,47.0,22-11-2022,494
2022/2023,48.0,29-11-2022,508
2022/2023,49.0,06-12-2022,510
2022/2023,50.0,13-12-2022,523
2022/2023,51.0,20-12-2022,575
2022/2023,52.0,27-12-2022,589
2022/2023,1.0,03-01-2023,598
2022/2023,2.0,10-01-2023,605
2022/2023,3.0,17-01-2023,617
2022/2023,4.0,24-01-2023,644
2022/2023,5.0,31-01-2023,659
2022/2023,6.0,07-02-2023,663
2022/2023,7.0,14-02-2023,663
2022/2023,8.0,21-02-2023,660
2022/2023,9.0,28-02-2023,658
2022/2023,10.0,07-03-2023,652
2022/2023,11.0,14-03-2023,655
2022/2023,12.0,21-03-2023,655
2022/2023,13.0,28-03-2023,652
2022/2023,14.0,04-04-2023,647
2022/2023,15.0,11-04-2023,641
2022/2023,16.0,18-04-2023,634
2022/2023,17.0,25-04-2023,625
2022/2023,18.0,02-05-2023,617
2022/2023,19.0,09-05-2023,606
2022/2023,20.0,16-05-2023,595
2022/2023,21.0,23-05-2023,584
2022/2023,22.0,30-05-2023,582
2022/2023,23.0,06-06-2023,580
2022/2023,24.0,13-06-2023,581
2022/2023,25.0,20-06-2023,579
2022/2023,26.0,27-06-2023,569
2022/2023,27.0,04-07-2023,559
2022/2023,28.0,11-07-2023,550
2022/2023,29.0,18-07-2023,540
2022/2023,30.0,25-07-2023,528
2022/2023,31.0,01-08-2023,518
2022/2023,32.0,08-08-2023,506
2022/2023,33.0,15-08-2023,499
2022/2023,34.0,22-08-2023,488
2022/2023,35.0,29-08-2023,480
2022/2023,36.0,05-09-2023,477
2022/2023,37.0,12-09-2023,479
2022/2023,38.0,19-09-2023,483
2022/2023,39.0,26-09-2023,485
2021/2022,40.0,05-10-2021,606
2021/2022,41.0,12-10-2021,599
2021/2022,42.0,19-10-2021,592
2021/2022,43.0,26-10-2021,585
2021/2022,44.0,02-11-2021,579
2021/2022,45.0,09-11-2021,572
2021/2022,46.0,16-11-2021,566
2021/2022,47.0,23-11-2021,558
2021/2022,48.0,30-11-2021,555
2021/2022,49.0,07-12-2021,553
2021/2022,50.0,14-12-2021,558
2021/2022,51.0,21-12-2021,561
2021/2022,52.0,28-12-2021,566
2021/2022,1.0,04-01-2022,575
2021/2022,2.0,11-01-2022,577
2021/2022,3.0,18-01-2022,579
2021/2022,4.0,25-01-2022,576
2021/2022,5.0,01-02-2022,573
2021/2022,6.0,08-02-2022,567
2021/2022,7.0,15-02-2022,562
2021/2022,8.0,22-02-2022,554
2021/2022,9.0,01-03-2022,551
2021/2022,10.0,08-03-2022,546
2021/2022,11.0,15-03-2022,544
2021/2022,12.0,22-03-2022,552
2021/2022,13.0,29-03-2022,606
2021/2022,14.0,05-04-2022,633
2021/2022,15.0,12-04-2022,644
2021/2022,16.0,19-04-2022,652
2021/2022,17.0,26-04-2022,665
2021/2022,18.0,03-05-2022,688
2021/2022,19.0,10-05-2022,704
2021/2022,20.0,17-05-2022,706
2021/2022,21.0,24-05-2022,704
2021/2022,22.0,31-05-2022,698
2021/2022,23.0,07-06-2022,690
2021/2022,24.0,14-06-2022,680
2021/2022,25.0,21-06-2022,670
2021/2022,26.0,28-06-2022,658
2021/2022,27.0,05-07-2022,648
2021/2022,28.0,12-07-2022,637
2021/2022,29.0,19-07-2022,626
2021/2022,30.0,26-07-2022,615
2021/2022,31.0,02-08-2022,602
2021/2022,32.0,09-08-2022,594
2021/2022,33.0,16-08-2022,582
2021/2022,34.0,23-08-2022,572
2021/2022,35.0,30-08-2022,562
2021/2022,36.0,06-09-2022,554
2021/2022,37.0,13-09-2022,544
2021/2022,38.0,20-09-2022,539
